Country,Emissions,GDP,Population
Afghanistan,0.2297,1928,33753500
Albania,1.5553,10032,2882482
Algeria,3.7677,14004,39543148
Angola,1.2057,8689,28127724
Argentina,4.4667,19502,43257064
Armenia,1.8695,10042,2878598
Australia,16.8507,48357,23820240
Austria,7.6454,41294,8642422
Azerbaijan,3.8439,17460,9863485
Bahrain,23.6688,40483,1362157
Bangladesh,0.469,3402,157830000
Barbados,4.4208,11849,278095
Belarus,6.1484,18136,9700609
Belgium,8.9525,38569,11248306
Benin,0.5036,2055,10932791
Bolivia,1.9575,6200,11090090
Bosnia and Herzegovina,5.3831,9495,3524328
Botswana,2.558,14805,2305177
Brazil,2.5889,15826,205188208
Bulgaria,6.7052,16373,7309255
Burkina Faso,0.182,1450,18718022
Burundi,0.0385,694,10727153
Cambodia,0.5493,3086,15417527
Cameroon,0.3325,2778,23012650
Canada,15.9066,43619,35732120
Cape Verde,0.9357,6266,552169
Central African Republic,0.04,576,4819341
Chad,0.0494,2384,14140277
Chile,4.5536,21589,17870122
China,7.0003,12244,1393715456
Colombia,1.9353,13218,47119728
Comoros,0.2309,1696,730221
Congo,0.7108,6272,5064390
Costa Rica,1.5277,13677,4895241
Cote d'Ivoire,0.405,3218,23596738
Croatia,4.2093,19698,4254821
Cuba,2.5882,7889,11339888
Cyprus,6.0038,24963,1187286
Czechia,9.8916,28194,10523801
Democratic Republic of Congo,0.0366,836,78656904
Denmark,6.1884,44635,5677795
Djibouti,0.4892,2941,1006266
Dominica,2.471,9319,70027
Dominican Republic,2.2851,13762,10405832
Ecuador,2.5141,10905,16195904
Egypt,2.3708,11159,97723792
El Salvador,1.0554,8109,6231072
Equatorial Guinea,9.2715,37822,1346974
Estonia,12.0574,24493,1314658
Eswatini,0.7865,7969,1133941
Ethiopia,0.1259,1553,102471896
Finland,8.0506,36836,5479457
France,5.1186,36827,63809768
Gabon,2.7055,18389,2028524
Gambia,0.2512,1786,2253137
Georgia,2.4221,10603,3771135
Germany,9.7278,44293,82073232
Ghana,0.5786,3809,28870946
Greece,7.0322,22442,10806644
Guatemala,0.9735,7138,16001105
Guinea,0.2144,1364,11626003
Guinea-Bissau,0.1603,1393,1788931
Haiti,0.2488,1742,10563762
Honduras,1.0756,4706,9294510
Hong Kong,5.8993,47777,7399845
Hungary,4.7674,22788,9844250
Iceland,10.7081,39727,331068
India,1.7315,5794,1322866560
Indonesia,2.1343,10484,259091968
Iran,8.0088,16253,81790848
Iraq,4.6566,13014,37757812
Ireland,8.3156,54278,4665764
Israel,7.8931,30954,8007777
Italy,5.9642,33118,60232908
Jamaica,2.7656,7024,2794455
Japan,9.5589,37031,127250936
Jordan,2.7579,11519,9494250
Kazakhstan,16.4228,23850,17835908
Kenya,0.3405,3046,46851496
Kuwait,23.8162,71354,3908745
Kyrgyzstan,1.7249,4754,5914985
Laos,1.3696,5559,6787420
Latvia,3.6353,21488,1991951
Lebanon,3.9394,12953,6398941
Lesotho,1.0891,2710,2118532
Liberia,0.2691,865,4612330
Libya,9.0652,8514,6192241
Lithuania,4.543,23889,2963764
Luxembourg,16.4943,55972,569415
Madagascar,0.1333,1360,24850912
Malawi,0.0669,1124,16938944
Malaysia,7.659,22432,31068834
Mali,0.1875,1553,18112910
Malta,4.0156,28700,456585
Mauritania,0.7226,3424,3946225
Mauritius,3.3427,18322,1293159
Mexico,3.9552,16096,120149896
Moldova,1.1747,5775,3277390
Mongolia,7.7518,12398,2964756
Montenegro,3.5707,17249,633969
Morocco,1.689,8001,34680456
Mozambique,0.2331,1103,26843252
Myanmar,0.4197,5021,51483956
Namibia,1.6637,9462,2282709
Nepal,0.2523,2455,27610328
Netherlands,9.6939,44869,17041110
New Zealand,7.8169,33696,4590591
Nicaragua,0.8726,4866,6298610
Niger,0.1017,913,20128132
Nigeria,0.6264,5578,183995776
North Korea,0.9777,1762.516724,25258012
North Macedonia,3.3779,12371,2107965
Norway,8.7726,82713,5190357
Oman,14.4953,38738,4191784
Pakistan,0.8487,5030,210969296
Palestine,0.6634,5003,4484615
Panama,2.741,20723,3957102
Paraguay,0.9047,8539,6177954
Peru,1.6103,11445,30711864
Philippines,1.0982,7047,103031360
Poland,8.2405,24177,38553148
Portugal,5.0432,24915,10365436
Qatar,35.1316,156029,2414580
Romania,3.8324,19320,19906078
Russia,11.1949,23691,144668384
Rwanda,0.0808,1693,11642963
Saint Lucia,2.6795,10185,175638
Sao Tome and Principe,0.6063,3545,201142
Saudi Arabia,21.2777,51681,32749838
Senegal,0.6753,2311,14356191
Serbia,4.9282,12765,7519501
Seychelles,5.0535,25690,99260
Sierra Leone,0.1221,1563,7314779
Singapore,11.1103,65660,5650020
Slovakia,6.3306,24588,5424449
Slovenia,6.5772,26268,2080865
South Africa,8.1351,12246,55876504
South Korea,12.4985,35269,50994396
Spain,5.8214,31847,46431344
Sri Lanka,0.9485,10763,21336692
Sweden,4.4652,43746,9849344
Switzerland,4.6682,59307,8281735
Syria,1.5648,3049,19205178
Taiwan,11.7091,41668,23512136
Tajikistan,0.6272,3789,8524066
Tanzania,0.2066,2566,52542824
Thailand,4.1576,15020,70294408
Togo,0.2548,1370,7473232
Trinidad and Tobago,32.9276,30702,1460180
Tunisia,2.6182,11060,11557779
Turkey,4.8559,19836,79646176
Turkmenistan,12.6194,22675,5766427
Uganda,0.1184,1954,37477356
Ukraine,4.9825,8961,44982568
United Arab Emirates,23.3818,74746,8916909
United Kingdom,6.4127,36941,65224368
United States,16.7408,52591,324607776
Uruguay,1.9711,19244,3402820
Uzbekistan,3.2788,9720,30949416
Venezuela,5.9878,18802,30529722
Vietnam,2.0825,5763,92191400
Yemen,0.4833,2844,28516552
Zambia,0.321,3478,16248231
Zimbabwe,0.885,1560,14154937